"Age","Attitude","Points","gender","deep","stra","surf"
"1",53,37,25,"F",43,27,31
"2",55,31,12,"M",35,22,38
"3",49,25,24,"F",42,29,27
"4",53,35,10,"M",42,25,27
"5",49,37,22,"M",44,29,34
"6",38,38,21,"F",57,29,29
"7",50,35,21,"M",46,18,23
"8",37,29,31,"F",39,32,34
"9",37,38,24,"M",52,34,26
"10",42,21,26,"F",48,28,36
"11",37,39,31,"M",43,29,32
"12",34,38,31,"F",46,38,29
"13",34,24,23,"F",51,29,27
"14",34,30,25,"F",40,28,33
"15",35,26,21,"M",50,14,28
"17",33,41,31,"F",44,31,28
"18",32,26,20,"F",49,11,35
"19",44,26,22,"F",42,26,30
"20",29,17,9,"M",49,24,45
"21",30,27,24,"F",48,30,33
"22",27,39,28,"M",47,21,28
"23",29,34,30,"M",48,19,29
"24",31,27,24,"F",48,29,36
"25",37,23,9,"F",44,22,29
"26",26,37,26,"F",44,14,34
"27",26,44,32,"F",53,26,38
"28",30,41,32,"M",47,32,36
"30",33,37,33,"F",45,29,24
"31",33,25,29,"F",39,23,42
"32",28,30,30,"M",43,24,45
"33",26,34,19,"M",59,13,30
"34",27,32,23,"F",43,26,25
"35",25,20,19,"F",35,28,29
"36",31,24,12,"F",44,24,31
"37",20,42,10,"M",54,26,19
"38",39,16,11,"F",49,15,34
"39",38,31,20,"M",46,35,22
"40",24,38,26,"M",39,29,29
"41",26,38,31,"M",28,20,39
"42",25,33,20,"M",40,10,41
"43",30,17,23,"F",49,32,41
"44",25,25,12,"F",35,24,38
"45",30,32,24,"M",40,20,42
"46",48,35,17,"F",46,39,32
"47",24,32,29,"F",44,40,29
"48",40,42,23,"F",56,35,43
"49",25,31,28,"M",45,26,25
"50",23,39,31,"F",41,32,45
"51",25,19,23,"F",50,25,35
"52",23,21,25,"F",35,20,35
"53",27,25,18,"M",50,25,29
"54",25,32,19,"M",43,26,36
"55",23,32,22,"M",34,17,41
"56",23,26,25,"F",48,22,35
"57",23,23,21,"F",35,19,39
"58",45,38,9,"F",36,25,39
"59",22,28,28,"F",49,32,28
"60",23,33,25,"F",35,32,39
"61",21,48,29,"M",42,18,30
"62",21,40,33,"M",52,26,21
"63",21,40,33,"F",51,29,27
"64",21,47,25,"F",41,29,25
"65",26,23,18,"F",37,20,34
"66",25,31,22,"F",55,15,34
"67",26,27,17,"F",41,16,29
"68",21,41,25,"M",41,15,27
"70",23,34,28,"F",41,32,34
"71",22,25,22,"F",43,23,27
"72",22,21,26,"F",19,31,22
"73",22,14,11,"F",40,20,35
"74",23,19,29,"F",52,22,35
"75",22,37,22,"M",53,36,25
"77",23,32,21,"M",58,27,28
"78",24,28,28,"M",37,21,29
"79",22,41,33,"F",36,33,33
"80",23,25,16,"F",49,21,39
"81",22,28,31,"M",49,18,21
"82",20,38,22,"M",45,22,31
"83",22,31,31,"M",37,24,40
"84",21,35,23,"M",57,13,34
"85",22,36,26,"F",51,15,30
"86",23,26,12,"F",50,27,29
"87",21,44,26,"M",53,30,29
"88",22,45,31,"M",46,17,31
"89",29,32,19,"M",40,19,36
"91",29,39,30,"F",38,22,24
"92",21,25,12,"F",38,25,41
"93",28,33,17,"M",46,28,34
"95",21,33,18,"F",51,21,27
"96",30,30,19,"F",46,27,33
"97",21,29,21,"F",44,18,47
"98",23,33,24,"M",46,24,28
"99",21,33,28,"F",46,32,33
"100",21,35,17,"F",46,28,33
"101",20,36,18,"F",44,21,35
"103",22,37,17,"M",52,20,25
"105",21,42,23,"M",45,30,44
"107",21,32,26,"M",50,29,34
"108",20,50,28,"F",48,33,41
"109",22,47,31,"M",48,35,19
"110",20,36,27,"F",55,21,35
"111",20,36,25,"F",44,32,36
"112",24,29,23,"M",44,22,35
"113",20,35,21,"F",46,22,32
"114",19,40,27,"F",31,11,36
"115",21,35,28,"F",42,18,33
"116",21,32,23,"F",37,29,37
"117",22,26,21,"F",51,30,30
"118",25,20,25,"F",38,32,28
"119",21,27,11,"F",37,25,36
"120",22,32,19,"F",50,26,36
"121",25,33,24,"F",27,17,48
"122",20,39,28,"F",40,23,39
"123",24,33,21,"M",37,12,42
"124",20,30,24,"F",33,20,42
"125",21,37,24,"M",39,26,46
"128",20,25,20,"F",48,29,35
"129",20,29,19,"F",43,31,26
"130",31,39,30,"M",49,31,20
"131",20,36,22,"F",51,19,25
"132",22,29,16,"F",41,24,34
"133",22,21,16,"F",37,27,41
"134",21,31,19,"M",42,22,40
"136",22,40,30,"M",44,36,31
"137",21,31,23,"F",51,21,34
"138",21,23,19,"F",51,22,40
"139",21,28,18,"F",46,26,36
"140",21,37,28,"F",53,33,31
"141",20,26,21,"F",42,27,29
"142",21,24,19,"F",43,22,43
"143",25,30,27,"F",44,33,25
"146",21,28,24,"M",25,26,52
"147",24,29,21,"F",51,23,32
"148",20,24,20,"F",43,23,36
"149",21,31,28,"M",48,19,32
"150",20,19,12,"F",40,31,26
"151",20,20,21,"F",42,17,32
"152",18,38,28,"F",38,32,27
"153",21,34,31,"F",43,26,32
"154",19,37,18,"F",41,21,40
"155",21,29,25,"F",51,22,42
"156",20,23,19,"F",39,32,33
"157",21,41,21,"M",53,24,24
"158",20,27,16,"F",39,27,34
"159",21,35,7,"F",47,31,42
"160",20,34,21,"F",43,26,30
"161",18,32,17,"F",54,27,38
"162",22,33,22,"M",43,33,37
"163",22,33,18,"F",44,28,35
"164",24,35,25,"M",31,16,38
"165",19,32,24,"F",50,29,30
"166",20,31,23,"F",39,27,46
"168",20,28,23,"F",52,17,27
"169",17,17,26,"F",47,37,41
"170",19,19,12,"M",32,20,45
"172",20,35,32,"F",37,23,36
"173",20,24,22,"F",45,22,31
"175",20,21,20,"F",50,32,40
"176",20,29,21,"F",50,19,34
"177",19,19,23,"F",39,31,36
"178",19,20,20,"F",49,27,34
"179",22,42,28,"F",35,14,38
"180",35,41,31,"M",46,24,33
"181",18,37,18,"F",38,21,41
"182",19,36,30,"F",41,21,36
"183",21,18,19,"M",49,27,32
